split_group_id,split
G1020_image_2654,train
G1020_image_1693,train
G1020_image_534,train
G1020_image_2042,train
G1020_image_360,train
G1020_image_1507,train
G1020_image_911,train
G1020_image_3067,train
G1020_image_2376,train
G1020_image_1981,train
G1020_image_571,train
G1020_image_1004,train
G1020_image_1422,train
G1020_image_47,train
G1020_image_305,train
G1020_image_746,train
G1020_image_2360,train
G1020_image_483,train
G1020_image_3045,train
G1020_image_6,train
G1020_image_261,train
G1020_image_773,train
G1020_image_2576,train
G1020_image_2247,train
G1020_image_2515,train
G1020_image_2623,train
G1020_image_2981,train
G1020_image_2856,train
G1020_image_2354,train
G1020_image_1694,train
G1020_image_856,train
G1020_image_361,train
G1020_image_1616,train
G1020_image_1234,train
G1020_image_1403,train
G1020_image_1904,train
G1020_image_2036,train
G1020_image_2226,train
G1020_image_2456,train
G1020_image_2047,train
G1020_image_262,train
G1020_image_2039,train
G1020_image_1362,train
G1020_image_444,train
G1020_image_1924,train
G1020_image_2694,train
G1020_image_2315,train
G1020_image_910,train
G1020_image_0,train
G1020_image_1931,train
G1020_image_2980,train
G1020_image_2552,train
G1020_image_2097,train
G1020_image_2523,train
G1020_image_486,train
G1020_image_2152,train
G1020_image_1496,train
G1020_image_1350,train
G1020_image_595,train
G1020_image_2574,train
G1020_image_768,train
G1020_image_642,train
G1020_image_1250,train
G1020_image_820,train
G1020_image_1516,train
G1020_image_2048,train
G1020_image_1824,train
G1020_image_614,train
G1020_image_1218,train
G1020_image_1893,train
G1020_image_1360,train
G1020_image_1902,train
G1020_image_2279,train
G1020_image_1956,train
G1020_image_1391,train
G1020_image_2530,train
G1020_image_2622,train
G1020_image_2783,train
G1020_image_1367,train
G1020_image_2229,train
G1020_image_1463,train
G1020_image_11,train
G1020_image_2605,train
G1020_image_1544,train
G1020_image_3168,train
G1020_image_2768,train
G1020_image_1480,train
G1020_image_2435,train
G1020_image_1386,train
G1020_image_1497,train
G1020_image_1003,train
G1020_image_2784,train
G1020_image_806,train
G1020_image_1227,train
G1020_image_3091,train
G1020_image_2781,train
G1020_image_1703,train
G1020_image_1392,train
G1020_image_338,train
G1020_image_170,train
G1020_image_1645,train
G1020_image_2412,train
G1020_image_2827,train
G1020_image_1361,train
G1020_image_954,train
G1020_image_2231,train
G1020_image_2824,train
G1020_image_1521,train
G1020_image_1141,train
G1020_image_2700,train
G1020_image_1326,train
G1020_image_2656,train
G1020_image_1199,train
G1020_image_2225,train
G1020_image_2320,train
G1020_image_2572,train
G1020_image_54,train
G1020_image_1093,train
G1020_image_2248,train
G1020_image_550,train
G1020_image_2516,train
G1020_image_2711,train
G1020_image_445,train
G1020_image_756,train
G1020_image_20,train
G1020_image_1188,train
G1020_image_2140,train
G1020_image_2473,train
G1020_image_726,train
G1020_image_562,train
G1020_image_1787,train
G1020_image_2528,train
G1020_image_626,train
G1020_image_2913,train
G1020_image_2154,train
G1020_image_2475,train
G1020_image_526,train
G1020_image_1077,train
G1020_image_3000,train
G1020_image_2857,train
G1020_image_2577,train
G1020_image_860,train
G1020_image_2065,train
G1020_image_1241,train
G1020_image_1203,train
G1020_image_469,train
G1020_image_1799,train
G1020_image_1866,train
G1020_image_2045,train
G1020_image_2035,train
G1020_image_236,train
G1020_image_1844,train
G1020_image_1035,train
G1020_image_1519,train
G1020_image_2078,train
G1020_image_2651,train
G1020_image_2708,train
G1020_image_1686,train
G1020_image_821,train
G1020_image_2956,train
