split_group_id,split
PAPILA_RET284,train
PAPILA_RET275,train
PAPILA_RET225,train
PAPILA_RET008,train
PAPILA_RET077,train
PAPILA_RET168,train
PAPILA_RET193,train
PAPILA_RET155,train
PAPILA_RET092,train
PAPILA_RET176,train
PAPILA_RET254,train
PAPILA_RET207,train
PAPILA_RET038,train
PAPILA_RET018,train
PAPILA_RET044,train
PAPILA_RET035,train
PAPILA_RET053,train
PAPILA_RET289,train
PAPILA_RET169,train
PAPILA_RET132,train
PAPILA_RET209,train
PAPILA_RET068,train
PAPILA_RET134,train
PAPILA_RET184,train
PAPILA_RET240,train
PAPILA_RET112,train
PAPILA_RET051,train
PAPILA_RET149,train
PAPILA_RET271,train
PAPILA_RET114,train
PAPILA_RET189,train
PAPILA_RET033,train
PAPILA_RET285,train
PAPILA_RET260,train
PAPILA_RET229,train
PAPILA_RET239,train
PAPILA_RET002,train
PAPILA_RET005,train
PAPILA_RET113,train
PAPILA_RET062,train
PAPILA_RET139,train
PAPILA_RET181,train
PAPILA_RET192,train
PAPILA_RET220,train
PAPILA_RET129,train
PAPILA_RET124,train
PAPILA_RET215,train
PAPILA_RET206,train
PAPILA_RET137,train
PAPILA_RET045,train
PAPILA_RET188,train
PAPILA_RET088,train
PAPILA_RET029,train
PAPILA_RET159,train
PAPILA_RET203,train
PAPILA_RET180,train
PAPILA_RET016,train
PAPILA_RET288,train
PAPILA_RET034,train
PAPILA_RET195,train
PAPILA_RET007,train
PAPILA_RET164,train
PAPILA_RET039,train
PAPILA_RET186,train
PAPILA_RET218,train
PAPILA_RET182,train
PAPILA_RET089,train
PAPILA_RET179,train
PAPILA_RET171,train
PAPILA_RET268,train
PAPILA_RET230,train
PAPILA_RET102,train
PAPILA_RET252,train
PAPILA_RET091,train
PAPILA_RET056,train
PAPILA_RET267,train
PAPILA_RET050,train
PAPILA_RET165,train
PAPILA_RET030,train
PAPILA_RET228,train
PAPILA_RET223,train
PAPILA_RET120,train
PAPILA_RET048,train
PAPILA_RET251,train
PAPILA_RET064,train
PAPILA_RET133,train
PAPILA_RET231,train
PAPILA_RET055,train
PAPILA_RET190,train
PAPILA_RET236,train
PAPILA_RET006,train
PAPILA_RET144,train
PAPILA_RET072,train
PAPILA_RET177,train
PAPILA_RET269,train
PAPILA_RET287,train
PAPILA_RET274,train
PAPILA_RET066,train
PAPILA_RET208,train
PAPILA_RET119,train
PAPILA_RET042,train
PAPILA_RET248,train
PAPILA_RET010,train
PAPILA_RET216,train
PAPILA_RET151,train
PAPILA_RET130,train
PAPILA_RET122,train
PAPILA_RET265,train
PAPILA_RET270,train
PAPILA_RET128,train
PAPILA_RET013,train
PAPILA_RET019,train
PAPILA_RET084,train
PAPILA_RET256,train
PAPILA_RET175,train
PAPILA_RET024,train
PAPILA_RET211,train
PAPILA_RET105,train
PAPILA_RET282,train
PAPILA_RET178,train
PAPILA_RET245,train
PAPILA_RET272,train
PAPILA_RET090,train
PAPILA_RET073,train
PAPILA_RET147,train
PAPILA_RET067,train
PAPILA_RET280,train
PAPILA_RET219,train
PAPILA_RET259,train
PAPILA_RET235,train
PAPILA_RET290,train
PAPILA_RET262,train
PAPILA_RET214,train
PAPILA_RET081,train
PAPILA_RET065,train
PAPILA_RET127,train
PAPILA_RET028,train
PAPILA_RET079,train
PAPILA_RET250,train
PAPILA_RET205,train
PAPILA_RET286,train
PAPILA_RET233,train
PAPILA_RET237,train
PAPILA_RET172,train
PAPILA_RET046,train
PAPILA_RET202,train
PAPILA_RET277,train
PAPILA_RET004,train
PAPILA_RET069,train
PAPILA_RET194,train
PAPILA_RET174,train
PAPILA_RET196,train
PAPILA_RET142,train
PAPILA_RET138,train
PAPILA_RET157,train
PAPILA_RET126,train
PAPILA_RET249,train
PAPILA_RET107,train
PAPILA_RET261,train
PAPILA_RET257,train
PAPILA_RET163,train
PAPILA_RET293,train
PAPILA_RET027,train
PAPILA_RET234,train
PAPILA_RET104,train
PAPILA_RET146,train
PAPILA_RET020,train
PAPILA_RET131,train
PAPILA_RET224,train
PAPILA_RET141,train
PAPILA_RET258,val
PAPILA_RET021,val
PAPILA_RET183,val
PAPILA_RET014,val
PAPILA_RET197,val
PAPILA_RET238,val
PAPILA_RET136,val
PAPILA_RET152,val
PAPILA_RET074,val
PAPILA_RET213,val
PAPILA_RET116,val
PAPILA_RET191,val
PAPILA_RET106,val
PAPILA_RET170,val
PAPILA_RET015,val
PAPILA_RET241,val
PAPILA_RET232,val
PAPILA_RET227,val
PAPILA_RET101,val
PAPILA_RET283,val
PAPILA_RET032,val
PAPILA_RET210,val
PAPILA_RET098,val
PAPILA_RET243,val
PAPILA_RET201,val
PAPILA_RET023,val
PAPILA_RET253,val
PAPILA_RET009,val
PAPILA_RET212,val
PAPILA_RET026,val
PAPILA_RET198,val
PAPILA_RET037,val
PAPILA_RET041,val
PAPILA_RET200,val
PAPILA_RET264,val
PAPILA_RET121,val
PAPILA_RET135,val
PAPILA_RET244,test
PAPILA_RET273,test
PAPILA_RET093,test
PAPILA_RET031,test
PAPILA_RET204,test
PAPILA_RET036,test
PAPILA_RET057,test
PAPILA_RET025,test
PAPILA_RET158,test
PAPILA_RET125,test
PAPILA_RET143,test
PAPILA_RET266,test
PAPILA_RET140,test
PAPILA_RET096,test
PAPILA_RET221,test
PAPILA_RET150,test
PAPILA_RET292,test
PAPILA_RET255,test
