relative_path,file_name,extension,size_mb,artifact_type,modified_time
extracted_zips/Tien_DiscView/paper_pdfs/paper_pdfs/G-RISK.pdf,G-RISK.pdf,.pdf,15.589192,document_or_log,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/paper_pdfs/paper_pdfs/DS_Project_Writeup_Automation_of_Glaucoma_Screening.pdf,DS_Project_Writeup_Automation_of_Glaucoma_Screening.pdf,.pdf,5.688745,document_or_log,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/UVA_Health_Frontiers_Symp_ppt/UVA Health Frontiers in Clinical AI Symposium/Disc View Poster Draft.pptx,Disc View Poster Draft.pptx,.pptx,5.245013,document_or_log,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/UVA_Health_Frontiers_Symp_ppt/UVA Health Frontiers in Clinical AI Symposium/Disc View Poster Final.pptx,Disc View Poster Final.pptx,.pptx,2.935963,document_or_log,2026-06-04T11:13:15
loose_files/folder_inventory_20260513_121508.txt,folder_inventory_20260513_121508.txt,.txt,2.868279,metadata_or_annotation,2026-06-04T09:40:31
extracted_zips/Tien_DiscView/paper_pdfs/paper_pdfs/Automated_Glaucoma_Detection_Review.pdf,Automated_Glaucoma_Detection_Review.pdf,.pdf,1.531343,document_or_log,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/paper_pdfs/paper_pdfs/DDLSNet.pdf,DDLSNet.pdf,.pdf,1.051062,document_or_log,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Assignment Papers/4-11 Progress Report.docx,4-11 Progress Report.docx,.docx,0.675312,document_or_log,2026-06-04T11:12:54
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Assignment Papers/2-28 Progress Report.docx,2-28 Progress Report.docx,.docx,0.480757,document_or_log,2026-06-04T11:12:54
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Assignment Papers/Final Capstone Project Proposal.docx,Final Capstone Project Proposal.docx,.docx,0.022079,document_or_log,2026-06-04T11:12:54
loose_files/Tien_DiscView/Weekly_agenda.docx,Weekly_agenda.docx,.docx,0.021917,document_or_log,2026-06-04T09:39:25
extracted_zips/Tien_DiscView/UVA_Health_Frontiers_Symp_ppt/UVA Health Frontiers in Clinical AI Symposium/AI Symposium Poster Outline.docx,AI Symposium Poster Outline.docx,.docx,0.021515,document_or_log,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ClinicalData/patient_data_os.xlsx,patient_data_os.xlsx,.xlsx,0.018061,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ClinicalData/patient_data_od.xlsx,patient_data_od.xlsx,.xlsx,0.017976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/web_application/web_application/discview_project_specification.docx,discview_project_specification.docx,.docx,0.017615,document_or_log,2026-06-04T11:13:16
loose_files/Tien_DiscView/Lit Review Annotated Bibliography.docx,Lit Review Annotated Bibliography.docx,.docx,0.017246,document_or_log,2026-06-04T09:37:21
extracted_zips/Tien_DiscView/Segmentation_Model/Segmentation_Model/model_training_brainstorming.docx,model_training_brainstorming.docx,.docx,0.011416,document_or_log,2026-06-04T11:12:54
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Assignment Papers/SEIDS Abstract_.docx,SEIDS Abstract_.docx,.docx,0.00712,document_or_log,2026-06-04T11:12:54
loose_files/FILE_LOG.txt,FILE_LOG.txt,.txt,0.005489,metadata_or_annotation,2026-06-04T09:37:21
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/___All_Errors.txt,___All_Errors.txt,.txt,0.003364,metadata_or_annotation,2026-06-04T11:13:15
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET002OD_disc_exp2.txt,RET002OD_disc_exp2.txt,.txt,0.00236,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET006OS_disc_exp2.txt,RET006OS_disc_exp2.txt,.txt,0.001385,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET008OD_disc_exp2.txt,RET008OD_disc_exp2.txt,.txt,0.001385,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET008OS_disc_exp2.txt,RET008OS_disc_exp2.txt,.txt,0.001322,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET005OS_disc_exp2.txt,RET005OS_disc_exp2.txt,.txt,0.00129,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET002OS_disc_exp2.txt,RET002OS_disc_exp2.txt,.txt,0.001259,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET004OD_disc_exp2.txt,RET004OD_disc_exp2.txt,.txt,0.001259,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET026OD_disc_exp2.txt,RET026OD_disc_exp2.txt,.txt,0.001259,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET028OS_disc_exp2.txt,RET028OS_disc_exp2.txt,.txt,0.001227,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET005OD_cup_exp2.txt,RET005OD_cup_exp2.txt,.txt,0.001196,metadata_or_annotation,2026-06-04T11:13:09
