source_dataset,file_id,raw_mask_path,standardized_mask_path,raw_mask_unique_values,standardized_mask_unique_values,standardization_status
G1020,image_0,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_0.png,data/processed/standardized_masks/g1020/image_0.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1.png,data/processed/standardized_masks/g1020/image_1.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_10,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_10.png,data/processed/standardized_masks/g1020/image_10.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1000,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1000.png,data/processed/standardized_masks/g1020/image_1000.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1001,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1001.png,data/processed/standardized_masks/g1020/image_1001.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1002,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1002.png,data/processed/standardized_masks/g1020/image_1002.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1003,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1003.png,data/processed/standardized_masks/g1020/image_1003.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1004,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1004.png,data/processed/standardized_masks/g1020/image_1004.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_103,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_103.png,data/processed/standardized_masks/g1020/image_103.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1032,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1032.png,data/processed/standardized_masks/g1020/image_1032.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1033,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1033.png,data/processed/standardized_masks/g1020/image_1033.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1034,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1034.png,data/processed/standardized_masks/g1020/image_1034.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1035,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1035.png,data/processed/standardized_masks/g1020/image_1035.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_104,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_104.png,data/processed/standardized_masks/g1020/image_104.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_105,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_105.png,data/processed/standardized_masks/g1020/image_105.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_106,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_106.png,data/processed/standardized_masks/g1020/image_106.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_107,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_107.png,data/processed/standardized_masks/g1020/image_107.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1076,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1076.png,data/processed/standardized_masks/g1020/image_1076.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1077,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1077.png,data/processed/standardized_masks/g1020/image_1077.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1080,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1080.png,data/processed/standardized_masks/g1020/image_1080.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1081,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1081.png,data/processed/standardized_masks/g1020/image_1081.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1087,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1087.png,data/processed/standardized_masks/g1020/image_1087.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1088,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1088.png,data/processed/standardized_masks/g1020/image_1088.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1092,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1092.png,data/processed/standardized_masks/g1020/image_1092.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1093,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1093.png,data/processed/standardized_masks/g1020/image_1093.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1094,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1094.png,data/processed/standardized_masks/g1020/image_1094.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1095,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1095.png,data/processed/standardized_masks/g1020/image_1095.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1096,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1096.png,data/processed/standardized_masks/g1020/image_1096.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_11,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_11.png,data/processed/standardized_masks/g1020/image_11.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_110,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_110.png,data/processed/standardized_masks/g1020/image_110.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_111,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_111.png,data/processed/standardized_masks/g1020/image_111.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1112,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1112.png,data/processed/standardized_masks/g1020/image_1112.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1113,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1113.png,data/processed/standardized_masks/g1020/image_1113.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_112,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_112.png,data/processed/standardized_masks/g1020/image_112.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_113,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_113.png,data/processed/standardized_masks/g1020/image_113.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1136,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1136.png,data/processed/standardized_masks/g1020/image_1136.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
