directory,file_count,total_size_mb,image_file_count,mask_label_file_count,model_file_count,code_file_count,document_file_count,video_file_count,metadata_file_count,public_keyword_hits,sponsor_keyword_hits,mask_label_keyword_hits,baseline_keyword_hits,split_keyword_hits,quality_domain_keyword_hits,extension_counts
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Videos,2,642.237878,0,0,0,0,0,2,0,0,4,1,0,0,0,.mp4:2
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/FundusImages,484,499.794535,484,484,0,0,0,0,0,1,2,1,0,0,0,.jpg:484
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images,650,465.651101,650,650,0,0,0,0,0,1,2,1,0,0,0,.jpg:650
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025,1,427.103208,0,0,0,0,0,0,0,1,1,1,0,1,0,.zip:1
extracted_zips/rivanna_train_discview/rivanna_train_discview/testing_doc_dump,4,302.866179,1,1,3,0,0,0,0,0,1,2,0,3,0,.ckpt:2; .jpg:1; .pth:1
extracted_zips/rivanna_train_discview/rivanna_train_discview,16,260.15756,1,2,2,12,0,0,1,0,1,1,0,1,0,.py:9; .ckpt:2; .ipynb:1; .csv:1; .png:1; .sh:1; .bat:1
extracted_zips/rivanna_train_discview/rivanna_train_discview/training_logs_15_4/checkpoints,2,259.47695,0,0,2,0,0,0,0,0,1,1,3,2,0,.ckpt:2
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Glare,650,182.675507,650,650,0,0,0,0,0,1,2,1,0,0,1,.jpg:650
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Subject-3,215,153.447057,215,215,0,0,0,0,0,0,4,1,0,0,0,.png:215
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Subject-2,208,140.022337,208,208,0,0,0,0,0,0,4,1,0,0,0,.png:208
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Thresholded_Images_Square,650,90.597908,650,650,0,0,0,0,0,1,1,3,0,1,2,.jpg:650
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/ImagesWithContours,488,83.191399,488,488,0,0,0,0,0,0,2,2,0,0,0,.jpg:488
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Subject 1 CD-1,74,69.521852,74,74,0,0,0,0,0,0,4,1,0,0,0,.png:74
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/psd_clinic_images_png,113,67.969578,113,113,0,0,0,0,0,1,3,2,0,1,0,.png:113
extracted_zips/convert_psd_to_label/convert_psd_to_label/processed_pngs/clinic_images,113,67.969578,113,113,0,0,0,0,0,0,1,3,0,0,1,.png:113
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/oldthreshold_mistake_training_split/train/images,455,63.436172,455,455,0,0,0,0,0,1,1,2,0,3,1,.jpg:455
extracted_zips/Tien_DiscView/Test_Non_Processed_Images/Test Non-processed Images Data,109,58.332504,109,109,0,0,0,0,0,0,1,2,0,1,3,.png:109
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Test Non-processed Images Data,109,58.332504,109,109,0,0,0,0,0,1,1,2,0,2,2,.png:109
extracted_zips/rivanna_train_discview/rivanna_train_discview/Test Non-processed Images Data,109,58.332504,109,109,0,0,0,0,0,0,1,2,0,2,2,.png:109
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Thresholded_Images_Square_15_4,650,46.608776,650,650,0,0,0,0,0,1,1,3,0,1,2,.jpg:650
extracted_zips/rivanna_train_discview/rivanna_train_discview/Thresholded_Images_Square_15_4,650,46.608776,650,650,0,0,0,0,0,0,1,3,0,1,2,.jpg:650
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Subject 1 CD-2,38,39.980389,38,38,0,0,0,0,0,0,4,1,0,0,0,.png:38
