relative_path,file_name,extension,size_mb,artifact_type,modified_time
loose_files/folder_inventory_20260513_121508.txt,folder_inventory_20260513_121508.txt,.txt,2.868279,metadata_or_annotation,2026-06-04T09:40:31
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/origa_info.csv,origa_info.csv,.csv,0.078492,metadata_or_annotation,2026-06-04T11:12:57
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Square_Boxed/bounding_boxes.csv,bounding_boxes.csv,.csv,0.054888,metadata_or_annotation,2026-06-04T11:13:02
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/290.mat,290.mat,.mat,0.026065,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/225.mat,225.mat,.mat,0.026052,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/610.mat,610.mat,.mat,0.026027,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/177.mat,177.mat,.mat,0.026005,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/168.mat,168.mat,.mat,0.025999,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/591.mat,591.mat,.mat,0.025885,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/389.mat,389.mat,.mat,0.025868,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/625.mat,625.mat,.mat,0.025833,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/624.mat,624.mat,.mat,0.025828,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/103.mat,103.mat,.mat,0.025812,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/391.mat,391.mat,.mat,0.025812,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/646.mat,646.mat,.mat,0.02581,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/228.mat,228.mat,.mat,0.025803,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/643.mat,643.mat,.mat,0.025795,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/270.mat,270.mat,.mat,0.02579,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/058.mat,058.mat,.mat,0.025785,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/167.mat,167.mat,.mat,0.025775,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/197.mat,197.mat,.mat,0.025764,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/623.mat,623.mat,.mat,0.025717,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/609.mat,609.mat,.mat,0.025712,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/207.mat,207.mat,.mat,0.025688,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/403.mat,403.mat,.mat,0.025688,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/067.mat,067.mat,.mat,0.025652,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/066.mat,066.mat,.mat,0.025647,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/401.mat,401.mat,.mat,0.025638,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/626.mat,626.mat,.mat,0.025627,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/642.mat,642.mat,.mat,0.025607,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/206.mat,206.mat,.mat,0.025591,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/102.mat,102.mat,.mat,0.025565,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/593.mat,593.mat,.mat,0.025562,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/277.mat,277.mat,.mat,0.025545,metadata_or_annotation,2026-06-04T11:13:08
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Semi-automatic-annotations/375.mat,375.mat,.mat,0.025541,metadata_or_annotation,2026-06-04T11:13:08
