source_dataset,official_split,file_id,raw_mask_path,standardized_mask_path,raw_mask_unique_values,standardized_mask_unique_values,standardization_status
REFUGE,train,g0001,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0001.png,data/processed/standardized_masks/refuge/train_g0001.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0002,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0002.png,data/processed/standardized_masks/refuge/train_g0002.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0003,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0003.png,data/processed/standardized_masks/refuge/train_g0003.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0004,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0004.png,data/processed/standardized_masks/refuge/train_g0004.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0005,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0005.png,data/processed/standardized_masks/refuge/train_g0005.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0006,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0006.png,data/processed/standardized_masks/refuge/train_g0006.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0007,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0007.png,data/processed/standardized_masks/refuge/train_g0007.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0008,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0008.png,data/processed/standardized_masks/refuge/train_g0008.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0009,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0009.png,data/processed/standardized_masks/refuge/train_g0009.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0010,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0010.png,data/processed/standardized_masks/refuge/train_g0010.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0011,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0011.png,data/processed/standardized_masks/refuge/train_g0011.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0012,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0012.png,data/processed/standardized_masks/refuge/train_g0012.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0013,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0013.png,data/processed/standardized_masks/refuge/train_g0013.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0014,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0014.png,data/processed/standardized_masks/refuge/train_g0014.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0015,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0015.png,data/processed/standardized_masks/refuge/train_g0015.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0016,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0016.png,data/processed/standardized_masks/refuge/train_g0016.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0017,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0017.png,data/processed/standardized_masks/refuge/train_g0017.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0018,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0018.png,data/processed/standardized_masks/refuge/train_g0018.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0019,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0019.png,data/processed/standardized_masks/refuge/train_g0019.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0020,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0020.png,data/processed/standardized_masks/refuge/train_g0020.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0021,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0021.png,data/processed/standardized_masks/refuge/train_g0021.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0022,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0022.png,data/processed/standardized_masks/refuge/train_g0022.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0023,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0023.png,data/processed/standardized_masks/refuge/train_g0023.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0024,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0024.png,data/processed/standardized_masks/refuge/train_g0024.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0025,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0025.png,data/processed/standardized_masks/refuge/train_g0025.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0026,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0026.png,data/processed/standardized_masks/refuge/train_g0026.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0027,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0027.png,data/processed/standardized_masks/refuge/train_g0027.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
