phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches
train,1,0.9401291016194909,0.5463316443493734,0.29122810021301354,0.2881692960742413,1911,239,144.87192293722183,
val,1,0.6301332965390436,0.6260739574493559,0.5768733956571738,0.22454867409766358,725,91,45.26986692612991,
train,2,0.4524197340760164,0.7316806002774704,0.6584604331482572,0.12626362735597665,1911,239,132.63025704212487,
val,2,0.3305992703602232,0.7747799926225175,0.7264901634978549,0.08805513560931898,725,91,40.875004526693374,
train,3,0.257951297634001,0.7829359072586712,0.6939897916534518,0.10531160991702519,1911,239,134.99884842988104,
val,3,0.25264400683600324,0.7756968071812335,0.7021008400613173,0.10646785909962413,725,91,40.69222306087613,
train,4,0.19492178168177043,0.8106496212488196,0.7163297154686378,0.09710662403780848,1911,239,136.05377427814528,
val,4,0.18268247503658822,0.8097063365603434,0.7545449284667985,0.07754247025590921,725,91,41.097456632182,
train,5,0.1663706371495388,0.828955168833757,0.7400735392340307,0.08878669910050802,1911,239,134.42896251473576,
val,5,0.17462750889103987,0.8110114492658889,0.7452837240051265,0.0975805126019217,725,91,40.672630802728236,
