phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,condition,train_fraction,model_name,encoder_name,source_strategy_name,component_strategies,source_checkpoint_epoch,image_size,batch_size,learning_rate,weight_decay,clinical_training_rows_used,clinical_training_groups_used,clinical_validation_rows_used,clinical_validation_groups_used,clinical_validation_mean_foreground_dice
train,1,0.4482021853327751,0.5051969677151646,0.538494699797797,0.2704720458807066,16,4,2.6112453030000324,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,1,0.5418274402618408,0.1131569667588226,0.3202301221443363,0.2854044956364151,4,1,0.5210493719969236,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2166935444515794
train,2,0.2476870007812976,0.5358398020959223,0.5812551810636325,0.4049796642836698,16,4,0.7132779879975715,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,2,0.5317020416259766,0.1180089078893663,0.2948800426695869,0.4977457658702223,4,1,0.4123253489997296,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2064444752794766
train,3,0.2038134783506393,0.5669716753094863,0.6150086134664582,0.2804592716660962,16,4,0.6262822700009565,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,3,0.5122431516647339,0.134150429722057,0.2778534912914768,0.4874507198825886,4,1,0.4684182329983741,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2060019605067669
train,4,0.173949921503663,0.5994676614308572,0.6758221201618126,0.2301423023842932,16,4,0.631588306001504,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,4,0.4844221770763397,0.1388833462257305,0.2765018544485176,0.4291384664197529,4,1,0.4259239399980288,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.207692600337124
train,5,0.1398630812764167,0.6336573804585472,0.7181112449635676,0.1415996108656526,16,4,0.6305082919971028,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,5,0.4327242970466614,0.1803879502083683,0.3691918714702638,0.1845461761726663,4,1,0.4176880060003896,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.274789910839316
train,6,0.1317885909229517,0.6534679114132851,0.6798164565595533,0.2155909691665708,16,4,0.6737976119984523,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
