phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,model_name,encoder_name,strategy_name,component_strategies,augmentation_mode,synthetic_copy_count,image_size,batch_size,learning_rate,weight_decay,val_mean_foreground_dice
train,1,1.01217020431281,0.5503562779102128,0.4884176413136697,0.2767213856544022,3822,478,180.6977027450339,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,1,0.589869587092564,0.5141923977170678,0.6667735613891355,0.15970146065106,725,91,27.8772150130244,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.5904829795531017
train,2,0.3289314931612374,0.7789364963056837,0.6936051444294664,0.1099553552260373,3822,478,176.9880096329725,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,2,0.2522746345503577,0.7508620186779924,0.6908552082617232,0.1628519466873729,725,91,27.05594255699544,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7208586134698578
train,3,0.1793894280724847,0.82478647788743,0.7353207776612389,0.09031851539361,3822,478,175.8542508489918,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,3,0.1707444568954665,0.8066631799690668,0.766184019006521,0.0877084447276793,725,91,26.90738660999341,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.786423599487794
train,4,0.1449920070040357,0.845291045618954,0.7617456256992964,0.0804827460734781,3822,478,176.94725628901506,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.1391214337636684,0.8450577461532955,0.7911242029618843,0.0681588613419833,725,91,26.522396823973395,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.81809097455759
train,5,0.1268774937781783,0.8616948076969159,0.7865258931874737,0.0728778845653907,3822,478,173.0541425329866,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.1424515036878914,0.8325965183376478,0.7979121175229108,0.0641669341920919,725,91,26.279993392992765,,combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8152543179302794
