phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,condition,run_name,strategy,components,clinical_rows_added_pre_augmentation,public_training_rows,clinical_training_rows,clinical_training_groups,hybrid_base_train_rows,hybrid_virtual_train_rows,public_validation_mean_foreground_dice,contains_private_paths,contains_sample_hashes,contains_patient_hashes
train,1,0.8979082179118881,0.6008261864758015,0.5144099911186873,0.3045439972904558,3864,483,246.87338974999875,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,1,0.45694457789947246,0.7794883206797731,0.7154002368472736,0.09885326415448457,725,91,41.034308951999265,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.7474442787635234,False,False,False
train,2,0.29519745266338804,0.7771930558302415,0.6910954088310642,0.11202937159595326,3864,483,225.9363878439981,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,2,0.1987169644133798,0.830199944222637,0.7610579162327927,0.0897600011952635,725,91,33.83205308000106,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.7956289302277149,False,False,False
train,3,0.17350130990980575,0.8207567245054829,0.7305229110637182,0.09415751997454275,3864,483,224.45801626999673,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,3,0.16420847224778143,0.837001336085715,0.7606765252068021,0.08182897961598164,725,91,34.53064835699843,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.7988389306462585,False,False,False
train,4,0.14245618865912005,0.841216293279017,0.7560036179339336,0.0830998261816415,3864,483,224.06917880699984,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,4,0.14433841378524387,0.8363835271551276,0.7966294155895901,0.06388631293133852,725,91,33.555508511999506,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8165064713723589,False,False,False
train,5,0.1262038500196692,0.8568974096314262,0.7765196812051604,0.07593756252509941,3864,483,222.40370085099858,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,5,0.16896473272093412,0.8012820519815634,0.7398887250603698,0.10153000154563137,725,91,32.95575207799993,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.7705853885209666,False,False,False
