phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,model_name,encoder_name,strategy_name,component_strategies,augmentation_mode,synthetic_copy_count,image_size,batch_size,learning_rate,weight_decay,val_mean_foreground_dice
train,1,1.0034234461392613,0.5515200911777622,0.49020761497384674,0.27839119657512085,3822,478,177.61774509999668,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,1,0.5352646072979631,0.7264549698254225,0.7108962197347334,0.10251638697895503,725,91,27.135326599993277,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7186755947800779
train,2,0.3145706572734143,0.7755898524326997,0.6887067906821311,0.10764789726512407,3822,478,172.69456038397038,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,2,0.22103574987115532,0.7946960428514004,0.7315511492687524,0.09752521556787538,725,91,25.765554341953248,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7631235960600764
train,3,0.17870532993806212,0.8243845989828291,0.732189893976421,0.09129590382330813,3822,478,172.21301473100903,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,3,0.19749747964842565,0.7805179775826971,0.7198987581731143,0.10276232545968851,725,91,26.27459099702537,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7502083678779057
train,4,0.14413711748342747,0.847241562796843,0.7593880551705117,0.08188853702900419,3822,478,171.3288145129918,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.13681793597237818,0.8547316511984372,0.8004230515496596,0.06941629672826072,725,91,26.14992253796663,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8275773513740484
train,5,0.12938236122758898,0.8580892904172222,0.7792469079799206,0.07574357098172063,3822,478,170.07745149102993,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.1550989754035555,0.817676508054026,0.7805157601488192,0.06771557432938383,725,91,26.05745902401395,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7990961341014227
train,6,0.11519351944303961,0.8713966819999774,0.7989494096115636,0.06715176968755002,3822,478,171.27231587702408,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,6,0.12596493933735223,0.8524991079070411,0.8132235789083604,0.05545743780894095,725,91,25.977802165027242,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8328613434077008
train,7,0.10584423598633082,0.8805497290228356,0.815833430156368,0.061490439313413005,3822,478,171.48803014296573,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,7,0.12769389681774995,0.8564129309467012,0.7878695318885602,0.06279041474396913,725,91,25.437847875989974,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8221412314176307
train,8,0.09671140923776407,0.8890074404822907,0.8308269163738374,0.05545248073835498,3822,478,171.92291154095437,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,8,0.1270743168839093,0.8537738788421513,0.8013124590124842,0.061632852118717274,725,91,25.799160259019118,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8275431689273177
train,9,0.09138839974149493,0.8939619058859375,0.8436796434251865,0.05162276389237129,3822,478,171.92283469601534,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,9,0.12737787439905363,0.8468323915623692,0.7977430648748944,0.07284613999769389,725,91,26.21281940495828,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8222877282186318
train,10,0.0854890838592917,0.8989764737117666,0.8577690724440765,0.0466291707536971,3822,478,172.7839928509784,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,10,0.12277840768468791,0.8549430505592631,0.8043249981123486,0.06482737506470151,725,91,25.566851043025963,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8296340243358058
train,11,0.08112019940251645,0.9033444832364432,0.8624548619522565,0.04567156221292259,3822,478,171.30914681300055,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,11,0.12632614829416933,0.8511938176542656,0.7992886667865097,0.07106492457286011,725,91,25.820883437991142,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8252412422203876
train,12,0.07447493195627324,0.9105462198136428,0.8739695136037421,0.04134801942839303,3822,478,171.13611885602586,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,12,0.12820624173715198,0.86094256463064,0.7946798956267455,0.07391498982706689,725,91,25.929558364034165,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8278112301286927
train,13,0.06905779542527168,0.9156284192170339,0.8859424424558524,0.03809112845547254,3822,478,168.87419910897734,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,13,0.12065602179231315,0.8550499140840583,0.8112408146846851,0.06587628780521179,725,91,25.72063902701484,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8331453643843717
train,14,0.0651946445017632,0.9193930715994818,0.8931588207962715,0.035242540427792075,3822,478,170.0317719829618,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,14,0.12596915105293538,0.8601086940047582,0.8006153458946768,0.0630233913223611,725,91,25.618019047018606,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8303620199497175
train,15,0.06357430540364428,0.9213483551771038,0.8952980862905774,0.03520122590128821,3822,478,169.7733285779832,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,15,0.12333988391119859,0.8534463719299032,0.7981365333776965,0.06955626314960199,725,91,26.305511925951578,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8257914526537999
train,16,0.05840616612799938,0.9263255870046292,0.905918567247088,0.03145792731490232,3822,478,169.84687195700826,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,16,0.13421175146925038,0.8589105002243751,0.7893358169842554,0.07173443600029016,725,91,25.812078105984256,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8241231586043152
train,17,0.05427325218682012,0.9320855647840156,0.9130796509012404,0.030191457347813005,3822,478,168.9679869649699,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,17,0.12174965348736994,0.8612463543674245,0.8099545631803163,0.06408586521255312,725,91,25.754433310008608,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8356004587738703
train,18,0.051467009793239885,0.9350961553372229,0.9148233786057526,0.02890838472946065,3822,478,168.86394331598422,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
