phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,augmentation_strategy,component_strategies,experiment_stage,notebook,model,encoder,encoder_weights,image_size,batch_size,learning_rate,weight_decay,seed,device,mean_foreground_dice
train,1,1.3762241788461906,0.4006665453516634,0.3344405021846339,0.4300970351909978,1911,239,106.71532236272468,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.3675535237681486
val,1,0.8657683515548706,0.6963948517864788,0.6669427962188389,0.2356529956593465,725,91,31.225561992730945,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.6816688240026588
train,2,0.6657509962686502,0.7198729545295929,0.6444681095311842,0.1397937090085718,1911,239,86.78923607664183,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.6821705320303886
val,2,0.5068664032426373,0.7787397169539958,0.7297630662942827,0.0867652768076891,725,91,24.660626027733088,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7542513916241392
train,3,0.3662443582703467,0.7653400362743128,0.6838636928725732,0.1111672763019142,1911,239,88.21397518087178,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.724601864573443
val,3,0.3328944569620592,0.6827226003913599,0.669023575395143,0.096307098493261,725,91,24.78880782891065,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.6758730878932515
train,4,0.2279778811427575,0.7960563026084726,0.7048782119690495,0.1024483031172388,1911,239,86.15152330836281,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7504672572887611
val,4,0.1864049131294776,0.8215235704999146,0.7672874955577592,0.0778274290037297,725,91,25.04094776092097,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7944055330288369
train,5,0.1821345025990285,0.818284470768739,0.7254246717137476,0.0952387932862956,1911,239,86.10833367612213,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7718545712412432
val,5,0.1725729188014721,0.8221013691361563,0.7612132940896189,0.0818666045108226,725,91,24.490982857067134,,online_aug_unetplusplus_resnet18_combined_dice_winners_256px_5epoch,combined_dice_winners,"small_affine,horizontal_flip,defocus_blur",combined_winner_policy,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7916573316128876
