phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,augmentation_strategy,experiment_stage,notebook,model,encoder,encoder_weights,image_size,batch_size,learning_rate,weight_decay,seed,device,mean_foreground_dice
train,1,1.3813548237787123,0.3835285218678095,0.3487946775107996,0.4235143224274384,1911,239,169.44431450078264,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.3661615996893045
val,1,0.9072150217253586,0.5847778483336651,0.5668988043538086,0.3288619503033763,725,91,51.06096432218328,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.5758383263437368
train,2,0.6555300011552484,0.7186765459746809,0.6407735338704311,0.1935146289639134,1911,239,145.76399792404845,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.6797250399225561
val,2,0.4884066395924009,0.7750085915336616,0.7413469764340587,0.0868083472551707,725,91,41.38430859288201,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7581777839838602
train,3,0.3433655961404478,0.7704460602865428,0.6863337332894348,0.112215584758948,1911,239,146.543052457273,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7283898967879888
val,3,0.2624004842289563,0.7742862440586888,0.7332230595587546,0.0812598531948936,725,91,41.320534634869546,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7537546518087217
train,4,0.2177641674182229,0.8056637835877425,0.7135684109226977,0.0995467094434994,1911,239,146.00088658509776,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7596160972552202
val,4,0.1862494518016946,0.8263653417737185,0.7652341177076933,0.0712709833352889,725,91,41.1228956701234,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7957997297407059
train,5,0.1744706604506943,0.8294651100631009,0.7349381607511299,0.090933699557178,1911,239,145.7291775192134,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.7822016354071154
val,5,0.1634108447823031,0.8294069230290992,0.7834044977060267,0.0713666125826818,725,91,40.62991912569851,,online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.806405710367563
train,1,1.3734066874677755,0.4051024073111379,0.3091864622289413,0.4198443878534985,1911,239,157.7119375448674,,online_aug_unetplusplus_resnet18_small_affine_256px_5epoch,small_affine,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.3571444347700396
val,1,0.8990806168523328,0.5831377831194992,0.5684838149331127,0.3242925741737016,725,91,42.878939654212445,,online_aug_unetplusplus_resnet18_small_affine_256px_5epoch,small_affine,independent_strategy_screen,05_online_augmentation_ablation,unetplusplus,resnet18,,"(256, 256)",8,0.0001,0.0001,42,cuda,0.5758107990263059
